"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
1,1,0,1,1,0,1,1,0,3,0,0,0,168,135,0,0,44,0,NA,219
1,1,0,1,1,0,1,1,0,3,0,0,0,105,64,0,0,13,0,NA,219
1,1,0,1,1,0,1,1,0,5,0,1,0,197,71,0,5,6,0,NA,219
1,1,0,1,1,1,0,1,1,4,0,0,0,75,76,0,0,15,7,NA,443
1,1,0,1,1,1,0,1,1,4,0,0,0,109,80,0,0,4,1,NA,443
1,1,0,1,1,1,0,1,1,3,0,0,0,166,126,0,0,1,0,NA,443
1,1,0,1,1,1,1,0,1,2,0,0,0,173,167,0,0,0,0,NA,379
1,1,0,1,1,1,1,0,1,4,0,0,0,130,83,0,4,0,4,NA,379
1,1,0,1,1,1,1,0,1,3,0,0,0,104,168,0,48,0,0,NA,379
1,1,1,0,0,1,1,0,1,3,0,0,238,0,0,0,33,0,9,NA,359
1,1,1,0,0,1,1,0,1,3,0,0,164,0,0,0,151,0,5,NA,359
1,1,1,0,0,1,1,0,1,4,0,0,186,0,0,3,146,0,3,NA,359
1,1,1,0,0,1,1,1,1,4,0,0,94,0,0,0,265,33,2,NA,487
1,1,1,0,0,1,1,1,1,4,0,0,167,0,0,0,11,49,9,NA,487
1,1,1,0,0,1,1,1,1,4,0,0,165,0,0,0,41,45,27,NA,487
1,1,1,0,1,0,0,0,1,4,2,0,26,0,198,0,0,0,27,NA,279
1,1,1,0,1,0,0,0,1,3,0,0,102,0,128,0,0,0,4,NA,279
1,1,1,0,1,0,0,0,1,4,0,1,23,0,201,0,0,0,32,NA,279
1,1,1,0,1,0,1,0,1,4,0,0,4,0,245,0,61,0,4,NA,343
1,1,1,0,1,0,1,0,1,5,0,5,44,0,144,0,8,0,14,NA,343
1,1,1,0,1,0,1,0,1,4,0,0,26,0,122,0,49,0,33,NA,343
1,1,1,0,1,0,1,1,1,4,0,0,22,0,275,0,2,12,0,NA,471
1,1,1,0,1,0,1,1,1,4,0,0,43,0,231,0,4,34,0,NA,471
1,1,1,0,1,0,1,1,1,4,0,0,55,0,204,0,24,40,0,NA,471
1,1,1,0,1,1,0,0,1,3,0,0,76,0,192,0,0,0,12,NA,311
1,1,1,0,1,1,0,0,1,3,0,0,112,0,132,0,0,0,28,NA,311
1,1,1,0,1,1,0,0,1,3,0,0,45,0,189,0,0,0,3,NA,311
1,1,1,0,1,1,0,1,1,4,0,0,71,0,189,0,0,24,13,NA,439
1,1,1,0,1,1,0,1,1,4,0,0,28,0,166,0,0,17,2,NA,439
1,1,1,0,1,1,0,1,1,4,0,0,40,0,149,0,0,31,61,NA,439
1,1,1,0,1,1,1,1,0,4,0,0,44,0,192,0,4,4,0,NA,247
1,1,1,0,1,1,1,1,0,4,0,0,54,0,136,0,32,7,0,NA,247
1,1,1,0,1,1,1,1,0,4,0,0,15,0,223,0,1,24,0,NA,247
1,1,1,0,1,1,1,1,1,5,0,0,61,0,208,0,8,49,2,NA,503
1,1,1,0,1,1,1,1,1,5,0,0,26,0,153,0,9,11,7,NA,503
1,1,1,0,1,1,1,1,1,6,0,2,142,0,139,0,3,10,11,NA,503
1,1,1,1,0,0,1,0,1,2,0,0,19,166,0,0,0,0,0,NA,335
1,1,1,1,0,0,1,0,1,3,0,0,19,209,0,0,0,0,4,NA,335
1,1,1,1,0,0,1,0,1,4,0,0,19,177,0,0,26,0,1,NA,335
